Rainfall,Soil_Quality,Pest_Infestation,Fertilizer_Use,Temperature,Crop_Yield
Adequate,Good,FALSE,TRUE,Mild,High
Low,Average,TRUE,FALSE,Hot,Low
Excessive,Poor,TRUE,FALSE,Mild,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Average,FALSE,TRUE,Mild,Medium
Adequate,Average,TRUE,FALSE,Hot,Medium
Excessive,Good,FALSE,TRUE,Cool,Medium
Low,Poor,TRUE,FALSE,Hot,Low
Adequate,Good,FALSE,TRUE,Mild,High
Adequate,Average,FALSE,TRUE,Mild,High
Low,Average,TRUE,FALSE,Mild,Low
Excessive,Average,TRUE,TRUE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Good,FALSE,TRUE,Mild,Medium
Adequate,Poor,TRUE,FALSE,Hot,Low
Excessive,Poor,TRUE,FALSE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Average,TRUE,TRUE,Hot,Medium
Adequate,Average,FALSE,TRUE,Mild,High
Excessive,Good,FALSE,TRUE,Cool,Medium
Low,Poor,TRUE,FALSE,Hot,Low
Adequate,Good,FALSE,TRUE,Mild,High
Adequate,Average,TRUE,FALSE,Mild,Medium
Low,Average,FALSE,TRUE,Mild,Medium
Excessive,Average,TRUE,TRUE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Good,FALSE,TRUE,Mild,High
Adequate,Poor,TRUE,FALSE,Hot,Low
Excessive,Poor,TRUE,FALSE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Average,TRUE,TRUE,Hot,Medium
Adequate,Average,FALSE,TRUE,Mild,High
Excessive,Good,FALSE,TRUE,Cool,Medium
Low,Poor,TRUE,FALSE,Hot,Low
Adequate,Good,FALSE,TRUE,Mild,High
Adequate,Average,TRUE,FALSE,Mild,Low
Low,Average,FALSE,TRUE,Mild,Medium
Excessive,Average,TRUE,TRUE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Good,FALSE,TRUE,Mild,Medium
Adequate,Poor,TRUE,FALSE,Hot,Low
Excessive,Poor,TRUE,FALSE,Cool,Low
Adequate,Good,FALSE,TRUE,Mild,High
Low,Average,TRUE,TRUE,Hot,Medium
Adequate,Average,FALSE,TRUE,Mild,High
Excessive,Good,FALSE,TRUE,Cool,Medium
Low,Poor,TRUE,FALSE,Hot,Low
Adequate,Good,FALSE,TRUE,Mild,High
Adequate,Average,TRUE,FALSE,Mild,Medium
Low,Average,FALSE,TRUE,Mild,Medium
